Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT0","SW_PUSH","SKQG-1155865",92.075000,-135.509000,0.000000,bottom
"C1","10nF","C_0402_1005Metric",272.624550,-190.830200,270.000000,bottom
"C2","100nF","C_0402_1005Metric",276.231350,-183.057800,180.000000,bottom
"C3","100nF","C_0402_1005Metric",283.521150,-186.969400,90.000000,bottom
"C4","100nF","C_0402_1005Metric",279.685750,-194.437000,0.000000,bottom
"C5","1uF","C_0402_1005Metric",271.430750,-190.830200,270.000000,bottom
"C6","4.7uF","C_0603_1608Metric",275.717000,-181.610000,180.000000,bottom
"C7","4.7uF","C_0603_1608Metric",284.892750,-186.436000,90.000000,bottom
"C8","0.1uF","C_0402_1005Metric",94.583250,-124.841000,0.000000,bottom
"C9","0.1uF","C_0402_1005Metric",94.075250,-129.921000,0.000000,bottom
"C10","4.7nF","C_0603_1608Metric",100.069650,-83.108800,90.000000,bottom
"C11","100nF","C_0603_1608Metric",107.823000,-87.884000,0.000000,bottom
"D1","D_Schottky","D_SOD-123",90.773250,-127.063500,270.000000,bottom
"D_0","D","D_SOD-123",107.188000,-92.329000,90.000000,bottom
"D_1","D","D_SOD-123",131.556250,-92.575000,90.000000,bottom
"D_2","D","D_SOD-123",150.606250,-92.575000,90.000000,bottom
"D_3","D","D_SOD-123",169.656250,-92.575000,90.000000,bottom
"D_4","D","D_SOD-123",188.706250,-92.575000,90.000000,bottom
"D_5","D","D_SOD-123",212.518750,-92.575000,90.000000,bottom
"D_6","D","D_SOD-123",231.568750,-92.575000,90.000000,bottom
"D_7","D","D_SOD-123",250.618750,-92.575000,90.000000,bottom
"D_8","D","D_SOD-123",269.668750,-92.575000,90.000000,bottom
"D_9","D","D_SOD-123",293.481250,-92.575000,90.000000,bottom
"D_10","D","D_SOD-123",312.531250,-92.575000,90.000000,bottom
"D_11","D","D_SOD-123",331.581250,-92.575000,90.000000,bottom
"D_12","D","D_SOD-123",350.631250,-92.575000,90.000000,bottom
